CHEMICAL,DISEASE,relación,oración
doxycycline,PD,tratamiento,"Among the adjunctive therapies, scaling and root planing (SRP) with local satranidazole gel (SZ) achieved the best improvement in probing depth (PD) and clinical attachment level (CAL); SRP with systemic amoxicillin (AMX) significantly improved bleeding on probing (BOP); SRP with systemic doxycycline (Doxy) or antimicrobial photodynamic therapy (aPDT) was most effective for reducing glycated hemoglobin (HbA1c%); and SRP with diode laser (DL) improved fasting blood sugar (FBS) most effectively."
doxycycline,bleeding,tratamiento,"Among the adjunctive therapies, scaling and root planing (SRP) with local satranidazole gel (SZ) achieved the best improvement in probing depth (PD) and clinical attachment level (CAL); SRP with systemic amoxicillin (AMX) significantly improved bleeding on probing (BOP); SRP with systemic doxycycline (Doxy) or antimicrobial photodynamic therapy (aPDT) was most effective for reducing glycated hemoglobin (HbA1c%); and SRP with diode laser (DL) improved fasting blood sugar (FBS) most effectively."
Doxy,PD,tratamiento,"Among the adjunctive therapies, scaling and root planing (SRP) with local satranidazole gel (SZ) achieved the best improvement in probing depth (PD) and clinical attachment level (CAL); SRP with systemic amoxicillin (AMX) significantly improved bleeding on probing (BOP); SRP with systemic doxycycline (Doxy) or antimicrobial photodynamic therapy (aPDT) was most effective for reducing glycated hemoglobin (HbA1c%); and SRP with diode laser (DL) improved fasting blood sugar (FBS) most effectively."
Doxy,bleeding,tratamiento,"Among the adjunctive therapies, scaling and root planing (SRP) with local satranidazole gel (SZ) achieved the best improvement in probing depth (PD) and clinical attachment level (CAL); SRP with systemic amoxicillin (AMX) significantly improved bleeding on probing (BOP); SRP with systemic doxycycline (Doxy) or antimicrobial photodynamic therapy (aPDT) was most effective for reducing glycated hemoglobin (HbA1c%); and SRP with diode laser (DL) improved fasting blood sugar (FBS) most effectively."
rabeprazole,Hp infection,otro,"Furthermore, 60 HU patients with Hp infection were randomly divided into the treatment group with rabeprazole plus amoxicillin and levofloxacin, and the control group with rabeprazole alone and the therapeutic effects then were recorded."
amoxicillin,Hp infection,otro,"Furthermore, 60 HU patients with Hp infection were randomly divided into the treatment group with rabeprazole plus amoxicillin and levofloxacin, and the control group with rabeprazole alone and the therapeutic effects then were recorded."
levofloxacin,Hp infection,otro,"Furthermore, 60 HU patients with Hp infection were randomly divided into the treatment group with rabeprazole plus amoxicillin and levofloxacin, and the control group with rabeprazole alone and the therapeutic effects then were recorded."
rabeprazole,Hp infection,otro,"Furthermore, 60 HU patients with Hp infection were randomly divided into the treatment group with rabeprazole plus amoxicillin and levofloxacin, and the control group with rabeprazole alone and the therapeutic effects then were recorded."
penicillin allergies,hypersensitivity,efecto_adverso,"This study aims to characterize the interventions commonly used for oral challenge, classify reported reactions, and identify reported predictors of hypersensitivity reactions in randomized controlled trials and quasi-experimental studies involving an oral challenge for patients with low-risk penicillin allergies."
antihistamines,maculopapular rashes,efecto_adverso,"Delayed reactions, primarily mild maculopapular rashes, were uncommon and managed with antihistamines or topical steroids."
steroids,maculopapular rashes,efecto_adverso,"Delayed reactions, primarily mild maculopapular rashes, were uncommon and managed with antihistamines or topical steroids."
cloxacillin,bacterial lymphadenitis,otro,"Thus, this study was planned to compare the safety and efficacy of oral cloxacillin and amoxicillin-clavulanic acid in pediatric bacterial lymphadenitis."
amoxicillin-clavulanic acid,bacterial lymphadenitis,otro,"Thus, this study was planned to compare the safety and efficacy of oral cloxacillin and amoxicillin-clavulanic acid in pediatric bacterial lymphadenitis."
cloxacillin,bacterial lymphadenitis,comparación,Conclusion Oral cloxacillin is as effective and safe as compared to amoxicillin-clavulanic acid in uncomplicated pediatric bacterial lymphadenitis.
amoxicillin-clavulanic acid,bacterial lymphadenitis,comparación,Conclusion Oral cloxacillin is as effective and safe as compared to amoxicillin-clavulanic acid in uncomplicated pediatric bacterial lymphadenitis.
cyclophosphamide,myelodysplastic syndromes,otro,A 68-year-old man who underwent haploidentical hematopoietic stem cell transplantation (HSCT) from a major ABO-incompatible donor with post-transplant cyclophosphamide for myelodysplastic syndromes developed pure red cell anemia and post-transfusion iron overload.
cyclophosphamide,anemia,otro,A 68-year-old man who underwent haploidentical hematopoietic stem cell transplantation (HSCT) from a major ABO-incompatible donor with post-transplant cyclophosphamide for myelodysplastic syndromes developed pure red cell anemia and post-transfusion iron overload.
CAP,community-acquired pneumonia,causa,"OBJECTIVE: As children hospitalised with community-acquired pneumonia (CAP) are at risk of persistent chest radiograph (CXR) abnormalities and respiratory sequelae, we investigated factors associated with incomplete CXR resolution at 4 weeks and 12 months post-discharge in children from populations at high-risk of chronic lung disease."
CAP,respiratory sequelae,causa,"OBJECTIVE: As children hospitalised with community-acquired pneumonia (CAP) are at risk of persistent chest radiograph (CXR) abnormalities and respiratory sequelae, we investigated factors associated with incomplete CXR resolution at 4 weeks and 12 months post-discharge in children from populations at high-risk of chronic lung disease."
CAP,pneumonia,causa,"CONCLUSION: In high-risk settings, younger age, those with previous pneumonia hospitalisation, or ongoing respiratory symptoms/signs 4 weeks post-discharge from hospitalised CAP may be associated with incomplete CXR resolution."
PTZ,CLI,otro,"RESULTS: Cohen's kappa coefficients with 95 % CIs for AMC, PTZ, IPM, CLI, MTR, and MXF were 0.92 (0.85-1.00), 0.70 (0.56-0.83), 0.96 (0.92-1.00), 0.98 (0.94-1.00), 0.96 (0.89-1.00), and 0.70 (0.58-0.82), respectively."
MXF,CLI,otro,"RESULTS: Cohen's kappa coefficients with 95 % CIs for AMC, PTZ, IPM, CLI, MTR, and MXF were 0.92 (0.85-1.00), 0.70 (0.56-0.83), 0.96 (0.92-1.00), 0.98 (0.94-1.00), 0.96 (0.89-1.00), and 0.70 (0.58-0.82), respectively."
PTZ,CLI,otro,"DDT demonstrated sensitivity > 0.8 for all antibiotics, and specificity > 0.8 except for PTZ (0.51; 0.37-0.65) and CLI (0.71; 0.58-0.82)."
PTZ,Sensititre(R,otro,"Sensititre(R) exhibited sensitivity > 0.9 for all antibiotics except for PTZ (0.86; 0.70-0.99), and specificity > 0.9 except for MXF (0.88; 0.75-0.99)."
MXF,Sensititre(R,otro,"Sensititre(R) exhibited sensitivity > 0.9 for all antibiotics except for PTZ (0.86; 0.70-0.99), and specificity > 0.9 except for MXF (0.88; 0.75-0.99)."
amoxicillin clavulanate,dizziness,efecto_adverso,"A 44-year-old female with no comorbidities presented with sweating, dizziness, rashes, chest tightness, and epigastric discomfort 1 h after oral amoxicillin clavulanate."
amoxicillin clavulanate,rashes,efecto_adverso,"A 44-year-old female with no comorbidities presented with sweating, dizziness, rashes, chest tightness, and epigastric discomfort 1 h after oral amoxicillin clavulanate."
amoxicillin clavulanate,chest tightness,efecto_adverso,"A 44-year-old female with no comorbidities presented with sweating, dizziness, rashes, chest tightness, and epigastric discomfort 1 h after oral amoxicillin clavulanate."
pheniramine maleate,Kounis syndrome,tratamiento,"Electrocardiogram (ECG) showed ST segment changes along with elevated troponin I. Suspecting Kounis syndrome, she was administered pheniramine maleate, hydrocortisone, and oral antiplatelets along with intravenous fluids."
hydrocortisone,Kounis syndrome,tratamiento,"Electrocardiogram (ECG) showed ST segment changes along with elevated troponin I. Suspecting Kounis syndrome, she was administered pheniramine maleate, hydrocortisone, and oral antiplatelets along with intravenous fluids."
adrenaline,coronary vasospasm,tratamiento,"Since systemic adrenaline was to be avoided for fear of coronary vasospasm, for airway edema, nebulized adrenaline was administered."
adrenaline,airway edema,tratamiento,"Since systemic adrenaline was to be avoided for fear of coronary vasospasm, for airway edema, nebulized adrenaline was administered."
adrenaline,coronary vasospasm,tratamiento,"Since systemic adrenaline was to be avoided for fear of coronary vasospasm, for airway edema, nebulized adrenaline was administered."
adrenaline,airway edema,tratamiento,"Since systemic adrenaline was to be avoided for fear of coronary vasospasm, for airway edema, nebulized adrenaline was administered."
antihistamines,vasospasm,efecto_adverso,"She recovered completely and was discharged after 48 h. This case highlights coronary vasospasm during an ongoing allergic reaction and its management with antihistamines, steroids, and antiplatelet drugs."
antihistamines,allergic reaction,efecto_adverso,"She recovered completely and was discharged after 48 h. This case highlights coronary vasospasm during an ongoing allergic reaction and its management with antihistamines, steroids, and antiplatelet drugs."
steroids,vasospasm,efecto_adverso,"She recovered completely and was discharged after 48 h. This case highlights coronary vasospasm during an ongoing allergic reaction and its management with antihistamines, steroids, and antiplatelet drugs."
steroids,allergic reaction,efecto_adverso,"She recovered completely and was discharged after 48 h. This case highlights coronary vasospasm during an ongoing allergic reaction and its management with antihistamines, steroids, and antiplatelet drugs."
adrenaline,airway edema,otro,Nebulized adrenaline was safely given with ECG monitoring for airway edema.
clopidogrel,hypertension,otro,"CASE PRESENTATION: A 70-year-old Chinese woman with underlying hypertension and ischemic heart disease (on clopidogrel 75 mg daily) presented with a painless lump over the right inguinal region, which had appeared three months prior."
amoxicillin-clavulanate,swelling,causa,"A two-week course of empirical antibiotics (amoxicillin-clavulanate 625 mg TID) resulted in temporary resolution, but the swelling recurred a month later."
gentamicin,acute kidney injury KDIGO stadium AKI,causa,"During the course of treatment, gentamicin was switched to ceftriaxone because of an acute kidney injury KDIGO stadium AKI 1."
ceftriaxone,acute kidney injury KDIGO stadium AKI,causa,"During the course of treatment, gentamicin was switched to ceftriaxone because of an acute kidney injury KDIGO stadium AKI 1."
amoxicillin,calculus,otro,"The calculus, measuring 7 x 3 x 2 mm, was expelled through micturition and consisted 100% of amoxicillin."
amoxicillin,nephropathy,otro,"In the case of intrarenal precipitation of crystals, crystal nephropathy occurs, which presents a rare side effect of amoxicillin."
AMX,pylori,causa,"Furthermore, unitig-based GWAS revealed that AMX, LVX, and CLR resistance in H. pylori was mainly caused by chromosomal mutations that affected the targets of these antibiotics (pbp1 A, gyrA, and 23S rRNA, respectively)."
LVX,pylori,causa,"Furthermore, unitig-based GWAS revealed that AMX, LVX, and CLR resistance in H. pylori was mainly caused by chromosomal mutations that affected the targets of these antibiotics (pbp1 A, gyrA, and 23S rRNA, respectively)."
amoxicillin/clavulanate,infection,otro,Widespread infection with abscess formation in multiple organs developed in untreated goats and goats treated with either amoxicillin/clavulanate or sulfamethoxazole/trimethoprim.
amoxicillin/clavulanate,abscess,otro,Widespread infection with abscess formation in multiple organs developed in untreated goats and goats treated with either amoxicillin/clavulanate or sulfamethoxazole/trimethoprim.
sulfamethoxazole/trimethoprim,infection,otro,Widespread infection with abscess formation in multiple organs developed in untreated goats and goats treated with either amoxicillin/clavulanate or sulfamethoxazole/trimethoprim.
sulfamethoxazole/trimethoprim,abscess,otro,Widespread infection with abscess formation in multiple organs developed in untreated goats and goats treated with either amoxicillin/clavulanate or sulfamethoxazole/trimethoprim.
TNF-alpha,tumor,otro,"These compounds reduced interleukin 1beta (IL-1beta), IL-18, tumor necrosis factor alpha (TNF-alpha), and high mobility group box 1 protein (HMGB1) expression in the spleen of G. parasuis-challenged mice."
amoxicillin,infection,otro,"Therefore, amoxicillin loading on PDO barrier membranes by means of plasma technology seems to be a promising strategy to prevent local infection during regenerative therapy."
Ampicillin,infections,causa,Ampicillin and amoxicillin/clavulanic acid should not be used to treat infections caused by the multidrug-resistant ETEC and UPEC identified in this area.
amoxicillin/clavulanic acid,infections,causa,Ampicillin and amoxicillin/clavulanic acid should not be used to treat infections caused by the multidrug-resistant ETEC and UPEC identified in this area.
amoxicillin,pandemic,otro,"Results: The study revealed a significant increase in the prescription of broad-spectrum antibiotics, including amoxicillin, clavulanic acid, clindamycin, and metronidazole, during the pandemic period."
clindamycin,pandemic,otro,"Results: The study revealed a significant increase in the prescription of broad-spectrum antibiotics, including amoxicillin, clavulanic acid, clindamycin, and metronidazole, during the pandemic period."
metronidazole,pandemic,otro,"Results: The study revealed a significant increase in the prescription of broad-spectrum antibiotics, including amoxicillin, clavulanic acid, clindamycin, and metronidazole, during the pandemic period."
beta-lactam,Clostridium perfringens,otro,"Conclusions:Clostridium perfringens isolates retained susceptibility to beta-lactam antibiotics, which remain the primary choice for treatment."
clindamycin,CDI,otro,Among the antimicrobials that showed a positive association between consumption and the incidence of CDI are clindamycin and cephalosporins after immediate consumption.
cephalosporins,CDI,otro,Among the antimicrobials that showed a positive association between consumption and the incidence of CDI are clindamycin and cephalosporins after immediate consumption.
clindamycin,CDI,otro,"Conclusions: Consumption of clindamycin, cephalosporins, and macrolides showed positive association with CDI, despite having a downtrend in consumption."
cephalosporins,CDI,otro,"Conclusions: Consumption of clindamycin, cephalosporins, and macrolides showed positive association with CDI, despite having a downtrend in consumption."
macrolides,CDI,otro,"Conclusions: Consumption of clindamycin, cephalosporins, and macrolides showed positive association with CDI, despite having a downtrend in consumption."
ASP,pandemic,otro,"Specific events, such as the COVID-19 pandemic and the implementation of ASP, have had no correlation with CDI."
ASP,CDI,otro,"Specific events, such as the COVID-19 pandemic and the implementation of ASP, have had no correlation with CDI."
Amoxicillin,bacterial infections,causa,Background: Amoxicillin (AMOX) is widely used in aquaculture for bacterial infections due to its efficacy and safety.
AMOX,bacterial infections,causa,Background: Amoxicillin (AMOX) is widely used in aquaculture for bacterial infections due to its efficacy and safety.
Amoxicillin,infections,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
Amoxicillin,allergy,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
Amoxicillin,allergy,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
penicillins,infections,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
penicillins,allergy,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
penicillins,allergy,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
Clindamycin,infections,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
Clindamycin,allergy,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
Clindamycin,allergy,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
penicillin,infections,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
penicillin,allergy,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
penicillin,allergy,otro,"For the complementary treatment of dental or oral cavity infections, Amoxicillin was the antibiotic indicated as the first choice for pediatric patients with no allergy to penicillins by most of the sample, while more than 20% of dentists would prescribe Clindamycin in patients with an allergy to penicillin."
amoxicillin,Enterococcus infections,otro,"The dilution range for MIC determination was set between 512 and 0.001 microg/mL. Results: Resistance to amoxicillin, a first-line treatment for Enterococcus infections, was low (11.1%)."
beta-lactam,non-lactose,otro,"AMR profiling revealed resistance to beta-lactam antibiotics such as amoxicillin and penicillin, with multidrug resistance observed in E. coli, Staphylococcus spp., and non-lactose fermenting bacteria."
amoxicillin,non-lactose,otro,"AMR profiling revealed resistance to beta-lactam antibiotics such as amoxicillin and penicillin, with multidrug resistance observed in E. coli, Staphylococcus spp., and non-lactose fermenting bacteria."
penicillin,non-lactose,otro,"AMR profiling revealed resistance to beta-lactam antibiotics such as amoxicillin and penicillin, with multidrug resistance observed in E. coli, Staphylococcus spp., and non-lactose fermenting bacteria."
amoxicillin,sore throat,otro,CASE REPORT A 6-year-old boy with 4 days of sore throat presented to his pediatrician and was treated with amoxicillin for a confirmed GAS pharyngitis.
amoxicillin,GAS pharyngitis,otro,CASE REPORT A 6-year-old boy with 4 days of sore throat presented to his pediatrician and was treated with amoxicillin for a confirmed GAS pharyngitis.
zeolite,heterogeneous Fenton-like reaction,efecto_adverso,"The heterogeneous Fenton-like reaction with modified zeolite was introduced for the removal of antibiotics, antibiotic-resistant bacteria (ARB), and antibiotic-resistant genes (ARGs) to reduce environmental impact of the substance residues in swine farm effluent."
ARB,heterogeneous Fenton-like reaction,efecto_adverso,"The heterogeneous Fenton-like reaction with modified zeolite was introduced for the removal of antibiotics, antibiotic-resistant bacteria (ARB), and antibiotic-resistant genes (ARGs) to reduce environmental impact of the substance residues in swine farm effluent."
swine,heterogeneous Fenton-like reaction,efecto_adverso,"The heterogeneous Fenton-like reaction with modified zeolite was introduced for the removal of antibiotics, antibiotic-resistant bacteria (ARB), and antibiotic-resistant genes (ARGs) to reduce environmental impact of the substance residues in swine farm effluent."
amoxicillin,TIA,efecto_adverso,"The heterogeneous Fenton-like reaction with 100 g/L of the modified zeolite and 2 mM H(2)O(2) could completely remove amoxicillin (AMX), tetracycline (TC), and tiamulin (TIA) in the swine farm effluent within 30 min."
AMX,TIA,efecto_adverso,"The heterogeneous Fenton-like reaction with 100 g/L of the modified zeolite and 2 mM H(2)O(2) could completely remove amoxicillin (AMX), tetracycline (TC), and tiamulin (TIA) in the swine farm effluent within 30 min."
tetracycline,TIA,efecto_adverso,"The heterogeneous Fenton-like reaction with 100 g/L of the modified zeolite and 2 mM H(2)O(2) could completely remove amoxicillin (AMX), tetracycline (TC), and tiamulin (TIA) in the swine farm effluent within 30 min."
TC,TIA,efecto_adverso,"The heterogeneous Fenton-like reaction with 100 g/L of the modified zeolite and 2 mM H(2)O(2) could completely remove amoxicillin (AMX), tetracycline (TC), and tiamulin (TIA) in the swine farm effluent within 30 min."
tiamulin,TIA,efecto_adverso,"The heterogeneous Fenton-like reaction with 100 g/L of the modified zeolite and 2 mM H(2)O(2) could completely remove amoxicillin (AMX), tetracycline (TC), and tiamulin (TIA) in the swine farm effluent within 30 min."
swine,TIA,efecto_adverso,"The heterogeneous Fenton-like reaction with 100 g/L of the modified zeolite and 2 mM H(2)O(2) could completely remove amoxicillin (AMX), tetracycline (TC), and tiamulin (TIA) in the swine farm effluent within 30 min."
zeolite,heterogeneous Fenton-like reaction,efecto_adverso,"Furthermore, the heterogeneous Fenton-like reaction with the modified zeolite is a promising technology for sequential and efficient removal of antibiotics, ARB, and ARGs residues in swine farm effluent before being discharged into the environment."
ARB,heterogeneous Fenton-like reaction,efecto_adverso,"Furthermore, the heterogeneous Fenton-like reaction with the modified zeolite is a promising technology for sequential and efficient removal of antibiotics, ARB, and ARGs residues in swine farm effluent before being discharged into the environment."
swine,heterogeneous Fenton-like reaction,efecto_adverso,"Furthermore, the heterogeneous Fenton-like reaction with the modified zeolite is a promising technology for sequential and efficient removal of antibiotics, ARB, and ARGs residues in swine farm effluent before being discharged into the environment."
Amoxicillin,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
piperacillin,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
ceftriaxone,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
cefuroxime,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
cefotaxime,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
azithromycin,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
sulfamethoxazole,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
trimethoprim,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
vancomycin,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
doxycycline,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
gentamicin,SJS/TEN,otro,"Amoxicillin, piperacillin, ceftriaxone, cefuroxime, cefotaxime, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin exhibited significant risk associations with SJS/TEN."
penicillins,SJS/TEN,causa,"CONCLUSIONS: Antibiotics including penicillins, cephalosporins, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin are associated with an increased risk of SJS/TEN, with sulfamethoxazole presenting the highest risk."
cephalosporins,SJS/TEN,causa,"CONCLUSIONS: Antibiotics including penicillins, cephalosporins, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin are associated with an increased risk of SJS/TEN, with sulfamethoxazole presenting the highest risk."
azithromycin,SJS/TEN,causa,"CONCLUSIONS: Antibiotics including penicillins, cephalosporins, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin are associated with an increased risk of SJS/TEN, with sulfamethoxazole presenting the highest risk."
sulfamethoxazole,SJS/TEN,causa,"CONCLUSIONS: Antibiotics including penicillins, cephalosporins, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin are associated with an increased risk of SJS/TEN, with sulfamethoxazole presenting the highest risk."
trimethoprim,SJS/TEN,causa,"CONCLUSIONS: Antibiotics including penicillins, cephalosporins, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin are associated with an increased risk of SJS/TEN, with sulfamethoxazole presenting the highest risk."
vancomycin,SJS/TEN,causa,"CONCLUSIONS: Antibiotics including penicillins, cephalosporins, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin are associated with an increased risk of SJS/TEN, with sulfamethoxazole presenting the highest risk."
doxycycline,SJS/TEN,causa,"CONCLUSIONS: Antibiotics including penicillins, cephalosporins, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin are associated with an increased risk of SJS/TEN, with sulfamethoxazole presenting the highest risk."
gentamicin,SJS/TEN,causa,"CONCLUSIONS: Antibiotics including penicillins, cephalosporins, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin are associated with an increased risk of SJS/TEN, with sulfamethoxazole presenting the highest risk."
sulfamethoxazole,SJS/TEN,causa,"CONCLUSIONS: Antibiotics including penicillins, cephalosporins, azithromycin, sulfamethoxazole, trimethoprim, vancomycin, doxycycline, and gentamicin are associated with an increased risk of SJS/TEN, with sulfamethoxazole presenting the highest risk."
SA-10GR,Epithelioma,causa,Functional characterization of SA-10GR shows extracellular products that cause damage to the fish model cell line (Epithelioma Papulosum Cyprini) and pathogenicity against larvae of the scallop Spondylus crassisquama and the oyster Magallana gigas (>/=86 % mortality at a concentration of 10(4) CFU mL(-1) at 24 h post-challenge).
Nile tilapia,P. aeruginosa,otro,"Thus, the present investigation was done in two steps; the first step was to examine the prevalence and the antibiogram of P. aeruginosa among Nile tilapia (Oreochromas niloticus (O. niloticus)) from aquaculture farms in Kafr El-shiekh Governorate with an emphasis on their antibiotic resistance genes (BlaTEM, tetA, and sul1)."
levamisole,artificial infection,otro,"The second step was to investigate the effect of levamisole as a feed supplement for tilapia fish on growth performance, immunity, serum biochemistry, and the protective effect against artificial infection with the previously isolated in the first step P. aeruginosa strain."
levamisole,P. aeruginosa,otro,"The second step was to investigate the effect of levamisole as a feed supplement for tilapia fish on growth performance, immunity, serum biochemistry, and the protective effect against artificial infection with the previously isolated in the first step P. aeruginosa strain."
Acetaminophen,carbon/maltodextrin-functionalized fibrous silica,otro,A novel hybrid adsorbent of activated carbon/maltodextrin-functionalized fibrous silica (AC/KCC-1/DEX) was prepared for the efficient removal of Acetaminophen (ACE) and Amoxicillin (AMOX) from water.
Amoxicillin,carbon/maltodextrin-functionalized fibrous silica,otro,A novel hybrid adsorbent of activated carbon/maltodextrin-functionalized fibrous silica (AC/KCC-1/DEX) was prepared for the efficient removal of Acetaminophen (ACE) and Amoxicillin (AMOX) from water.
AMOX,carbon/maltodextrin-functionalized fibrous silica,otro,A novel hybrid adsorbent of activated carbon/maltodextrin-functionalized fibrous silica (AC/KCC-1/DEX) was prepared for the efficient removal of Acetaminophen (ACE) and Amoxicillin (AMOX) from water.
oxygen,cervical cancer,comparación,"Compared with controls, treatment of cervical cancer (HeLa) and oral squamous cell carcinoma (SAS) cells with 10 mug/mL AMPC significantly increased mitochondrial reactive oxygen species levels, decreased mitochondrial membrane potential, and reduced mitochondrial Fe(2+) levels."
oxygen,squamous cell carcinoma,comparación,"Compared with controls, treatment of cervical cancer (HeLa) and oral squamous cell carcinoma (SAS) cells with 10 mug/mL AMPC significantly increased mitochondrial reactive oxygen species levels, decreased mitochondrial membrane potential, and reduced mitochondrial Fe(2+) levels."
AMPC,cancer,otro,This phenomenon facilitates greater AMPC uptake and mitochondrial dysfunction in cancer cells.
high-dose,3335/3875,otro,The pooled eradication rates for 14-day high-dose amoxicillin/proton pump inhibitor (PPI) dual therapies were 86.1% (3335/3875; 95% confidence interval (CI): 85.1-87.2%) by intention-to-treat (ITT) analysis and 87.3% (3232/3702; 95% CI: 86.2-88.4%) by per-protocol (PP) analysis.
penicillin,pylori,otro,"In conclusion, 14-day tetracycline/vonoprazan dual therapy presents an effective option for eradicating H. pylori in patients allergic to penicillin."
penicillin,allergic,otro,"In conclusion, 14-day tetracycline/vonoprazan dual therapy presents an effective option for eradicating H. pylori in patients allergic to penicillin."
penicillin-resistant,SCD,otro,"SCD patients had 2.89 and 2.47 times higher odds of being colonized or infected with penicillin-resistant and erythromycin-resistant S. aureus strains, respectively."
penicillin,SCD,otro,SCD patients have an increased risk of resistance to penicillin and co-trimoxazole across several bacterial pathogens.
co-trimoxazole,SCD,otro,SCD patients have an increased risk of resistance to penicillin and co-trimoxazole across several bacterial pathogens.
